batch:10  lamda:100.0
epoch,dis_loss,gan_mae,gan_entropy,validation_mae,validation_entropy
0,0.410714,21.8485,10.843,35247.5,36016.1
1,0.00059968,4.6956,5.11647,172.455,179.905
2,0.0148812,4.28927,4.43321,10.485,10.6948
3,0.0151075,9.28004,9.02195,12.2153,11.6122
4,0.010245,9.87319,8.56173,15.7589,15.7751
5,0.000671672,3.47958,3.48149,14.2386,14.239
6,0.000700507,3.10095,3.04021,14.5248,14.5121
7,0.000803398,2.73792,2.63132,15.1925,15.1979
8,0.00150547,2.90209,2.76086,14.8552,14.6623
9,0.0137259,2.81019,2.63728,15.2369,15.2589
10,0.201213,6.31001,11.4037,14.9209,14.9833
11,0.00292053,3.58181,3.82934,14.6287,14.6477
12,0.00279234,2.77206,3.02304,14.2711,14.1584
13,0.0310423,3.00876,2.86811,52.8524,56.8966
14,0.000282602,3.51973,3.70186,21.463,20.5585
15,0.00205879,2.79334,2.84383,15.5321,15.753
16,0.00421232,2.79361,2.50672,14.3546,14.3563
17,0.0185598,2.51856,2.60751,13.7069,13.9766
18,0.32986,5.81958,8.23077,13.4829,13.2681
19,0.0828179,3.08093,3.29048,7.58901,7.35757
20,0.0436469,4.98945,3.96485,13.947,13.8765
21,0.0120719,3.29931,2.90951,12.9675,12.6076
22,0.0541805,2.40233,2.66299,12.7723,12.7425
23,0.0294691,2.63748,3.21333,5.33051,5.74304
24,0.00132181,2.34508,2.4474,7.25977,7.47594
25,0.00160182,2.4057,2.51704,6.78755,6.80329
26,0.00578764,2.50949,2.32169,4.94199,5.6659
27,0.010483,2.21848,2.41454,5.22448,5.20647
28,0.00543784,2.32488,2.10913,2.76551,2.82252
29,0.051605,2.1123,1.99667,6.13712,5.92936
30,0.34485,3.03319,4.74167,14.0844,14.309
31,0.0225126,3.13554,3.04463,12.9305,13.1645
32,0.00932608,2.891,2.46977,10.3213,10.9634
33,0.0142944,2.43907,2.49608,7.01799,6.91683
34,0.00876431,2.62325,2.16783,4.91241,5.73993
35,0.0222896,2.57476,2.06223,5.33464,5.27576
36,0.0855406,2.55687,2.24315,5.91053,5.20389
37,0.0452158,2.48032,2.66778,2.71467,2.49324
38,0.949716,2.21718,2.49215,3.55793,3.80831
39,5.37318,3.71783,3.72931,19.5651,19.3853
40,0.0882693,2.9157,3.05394,11.1292,11.3904
41,0.0118373,2.44505,2.79277,14.5969,14.3714
42,0.0573018,2.53671,2.57754,13.0639,13.2549
43,0.219833,2.49689,2.45721,7.90993,7.24475
44,0.0682451,2.45239,2.6897,5.18393,5.5675
45,0.0495774,2.18935,2.43589,4.84685,4.82516
46,0.0447061,2.44098,2.49257,4.95528,6.38595
47,0.017221,2.19644,2.7544,3.23751,2.9925
48,0.0327056,2.21133,2.25641,4.14051,4.14747
49,0.014693,2.38933,2.58917,3.42395,3.20315
50,0.0141392,2.17681,2.74357,2.87644,3.1503
51,0.0122176,2.0449,2.06683,2.28116,2.21131
52,0.0194653,2.19532,2.20173,2.84743,3.19572
53,0.0136847,2.14265,2.36611,2.76032,2.45204
54,0.0705752,2.255,2.31803,3.2733,3.29315
55,1.90996,2.02663,2.21034,4.80941,4.77965
56,0.109972,3.45605,3.36037,10.2066,10.0437
57,0.0769646,2.61335,2.26337,2.70549,2.55846
58,0.410038,2.57281,2.72582,2.60708,2.3988
59,0.119319,2.57587,2.59428,3.17955,3.19296
60,0.0723619,2.42771,2.22071,2.89122,2.92858
61,0.123467,2.45613,2.30351,3.38071,3.09175
62,0.0304197,2.28662,2.44111,2.48761,2.42085
63,0.322334,2.27769,2.37876,2.65602,2.49749
64,0.0683073,2.48965,1.98518,2.23679,2.2937
65,3.37635,2.02778,2.05099,3.23884,3.48504
66,0.910301,3.45286,3.70341,7.09825,6.98622
67,0.913756,2.18762,2.41199,2.99455,2.95879
68,0.331712,2.99453,2.8824,4.67024,4.51405
69,1.05352,2.37714,2.51743,2.99907,2.89214
