batch:10  lamda:100.0
epoch,dis_loss,gan_mae,gan_entropy,validation_mae,validation_entropy
70,1.1002,2.44344,2.5004,2.68896,2.73483
71,0.214599,2.78752,2.77853,2.48824,2.48742
72,0.0791315,2.43761,2.23705,2.10728,2.15318
73,0.320246,2.43994,2.28136,2.50588,2.47726
74,1.60154,2.1546,2.20035,3.39771,3.67787
75,1.30517,2.53847,2.75571,3.42942,2.97918
76,1.52238,2.63105,2.66695,2.63531,2.64017
77,3.48325,2.42783,2.68049,3.00032,3.19262
78,1.20223,3.00527,2.78536,3.06611,3.00818
79,2.54679,2.3875,2.44006,3.49183,3.36105
80,2.47753,3.03842,3.3826,3.58468,3.8105
81,4.46285,2.85672,2.66694,8.44351,8.68882
82,2.3141,2.89468,3.36482,3.783,3.57501
83,3.14668,3.15196,3.08318,8.76252,8.0448
84,5.53902,3.13189,2.6271,2.93654,2.9116
85,2.8934,2.86606,2.82142,2.93319,3.08073
86,2.43871,2.38704,2.5826,2.71279,2.82643
87,4.39355,3.00951,2.8249,4.90261,4.95817
88,4.06459,3.19761,2.63054,2.76938,2.64264
89,5.35915,2.87737,2.77273,2.75797,2.69643
90,4.67072,2.73667,2.86927,5.10382,4.43025
91,2.89251,2.75579,2.89801,2.5204,2.61325
92,3.48409,2.64279,2.56546,2.54961,2.7662
93,2.04687,2.71814,2.38378,2.59156,2.61648
94,4.95229,2.70151,2.55457,4.18066,4.29242
95,6.61881,3.02898,2.91894,3.5238,3.01979
96,6.13685,3.01173,2.9735,3.09149,2.90932
97,6.4831,2.99928,2.88646,3.43802,3.4777
98,0.496254,3.22529,2.78543,5.2264,4.34371
99,2.49379,2.34158,2.36284,7.09294,5.84566
100,0.756351,2.863,2.68061,8.28214,8.47478
101,0.600904,2.34161,2.30561,2.7548,2.57415
102,3.21769,2.20526,2.50894,6.02828,6.00639
103,4.62762,2.97957,2.83405,9.68747,8.80666
104,2.95265,3.32364,2.93442,2.59797,2.68605
105,3.19624,2.59245,2.72246,12.6451,12.995
106,4.6853,3.49124,3.40909,3.10127,3.05696
107,5.62273,3.09647,3.33085,4.87326,4.65087
108,5.0442,3.28755,3.10877,2.45938,2.7371
109,6.14282,3.1364,2.75353,10.6275,9.73216
110,2.90791,3.51559,3.50582,4.01919,3.87654
111,0.406408,2.64201,2.72051,3.82545,3.90372
112,4.10947,3.39146,3.97265,2.88633,2.76756
113,6.22565,2.63984,3.16819,6.97827,6.95028
114,0.984434,3.51366,3.64451,7.75289,8.05317
115,2.27636,3.14162,3.2216,3.8494,4.45735
116,4.77531,2.58699,2.37472,3.92537,4.02603
117,3.36709,3.17607,3.40678,2.76665,2.70927
118,2.3675,2.91703,2.94735,3.76654,4.0467
119,1.73881,2.77246,2.83529,3.39964,3.45655
120,4.12709,2.54573,3.36101,2.9771,2.90194
121,6.31808,2.72405,3.34201,14.1004,13.6802
122,1.81386,4.09206,4.02576,4.34638,4.68441
123,2.44834,2.29978,2.50948,4.13748,4.24192
124,0.793645,2.64155,2.67436,2.63233,2.62742
125,2.5694,2.79405,2.70953,4.51791,4.48642
126,1.14622,3.95199,3.083,6.40594,6.43868
127,2.4552,2.51938,2.5878,6.23437,6.35327
128,2.11627,3.47254,3.22186,3.28981,3.43993
129,1.47884,2.8615,2.8253,2.55324,2.78663
130,4.65486,2.57107,2.45515,2.65992,3.16859
131,5.07224,2.74042,3.26264,2.60962,2.75093
132,4.52264,3.02978,2.73779,4.08371,4.54143
133,4.73736,3.56414,3.18551,3.15573,3.38649
134,4.76015,3.33675,3.74556,3.0478,2.83347
135,6.56674,2.91221,3.24644,3.73806,3.68505
136,7.59023,4.90051,4.03671,3.26285,2.97306
137,5.68492,3.33203,3.34663,4.38231,4.35384
138,5.82484,3.3304,3.46748,7.32239,6.51725
139,0.938111,2.46958,2.70354,3.72141,4.48273
140,1.253,2.37826,2.74905,8.00718,7.19899
141,1.33406,3.70054,3.52619,6.16383,6.72421
142,4.47837,2.40883,3.15875,2.96734,3.15415
143,6.61221,3.62352,3.41379,5.29412,5.89041
144,3.27208,2.76917,2.87909,2.98016,2.67686
145,2.75222,3.07604,2.871,13.3957,12.9898
146,2.95946,3.20123,3.57778,4.01496,4.06924
147,2.32726,3.79625,4.05624,3.28293,3.30862
148,0.558661,2.57976,2.43549,3.06904,3.0082
149,0.512793,2.21551,2.33271,2.75402,3.40638
150,1.59425,2.53301,2.25616,4.51982,5.28459
151,1.9581,4.42173,3.35328,3.09033,3.34507
152,2.39045,4.4379,3.45504,3.04544,3.2361
153,1.34037,2.69216,2.79484,3.59703,3.33425
154,2.24454,2.38487,2.61438,4.07798,3.99156
155,3.60607,2.87597,2.98041,7.68894,7.59728
156,2.64997,3.23303,3.25667,3.10752,3.03014
157,3.35534,3.42044,3.03224,6.06179,5.44318
158,3.20596,2.95201,3.24716,6.48521,6.35791
159,4.85651,4.14188,4.04623,3.55025,3.46227
160,2.19834,3.54819,3.17966,4.05224,3.52653
161,4.25604,3.00821,3.06637,3.62969,3.64235
162,3.96122,4.63497,3.72793,3.35467,3.50513
163,2.41892,4.33901,3.88923,3.23022,3.32406
164,2.57998,2.70416,2.84096,3.43321,3.54567
165,4.87579,3.31281,2.95875,4.72483,4.67731
166,3.14349,4.16072,3.52498,4.01419,3.82646
167,3.74412,3.25077,3.54455,3.5377,3.28074
168,7.92306,4.12802,4.33629,14.863,14.8938
169,6.72853,4.63247,4.30018,3.41331,3.44497
170,3.29299,3.6099,3.3429,3.13913,3.03179
171,3.29593,3.50967,4.864,3.9308,4.03948
172,3.44981,3.15928,3.51289,2.84651,3.04078
173,2.1958,2.78435,2.95805,3.09592,3.03329
174,4.60477,3.20492,2.91928,7.65522,6.72316
175,1.78175,3.87072,3.36738,3.62221,3.85854
176,2.63741,3.66695,3.36351,3.02768,3.08021
177,1.5137,3.02601,2.76971,3.93636,3.56963
178,0.457177,3.23654,2.78678,4.01977,2.93017
179,2.06903,2.23486,2.17293,2.77997,2.68409
180,3.15612,3.29026,3.72427,3.90941,3.97659
181,4.2459,3.79805,3.43517,4.67995,4.29276
182,3.88666,4.39982,4.19986,3.3259,3.55287
183,1.80793,3.61664,3.37418,3.86685,4.29313
184,4.92977,4.95683,4.69999,3.68582,3.50872
185,3.46097,4.00284,3.58611,3.08595,3.53398
186,6.10537,3.58227,3.43405,4.66604,5.2589
187,3.01579,4.12024,3.77164,2.93951,3.16385
188,4.00971,4.04786,3.63427,3.18571,3.30143
189,4.86155,3.54768,4.36573,4.31879,4.70269
190,2.4135,5.0761,5.49817,3.18953,3.15868
191,2.11736,3.69876,4.67168,2.8912,2.68303
192,1.79348,2.76876,2.73719,5.47798,5.88459
193,1.19327,3.82798,3.59342,4.24312,4.27689
194,1.63303,3.17021,3.02617,5.25219,5.57114
195,2.59572,2.87711,2.77228,3.16139,3.80046
196,2.30676,3.56025,3.63599,4.16807,4.5658
197,2.32151,3.35201,3.31913,3.67102,3.36034
198,3.68095,3.49899,3.86413,3.17137,3.41129
199,2.29567,4.53962,4.35503,5.45471,5.50713
200,3.25994,3.44518,3.75721,3.4846,3.25144
201,3.14337,4.6423,4.17433,3.53999,3.41785
202,2.51484,4.7268,4.3809,4.21024,3.98439
203,1.95253,3.07332,3.04578,2.99981,3.26756
204,3.02431,3.32331,3.17181,4.06402,4.14379
205,2.49272,3.38424,3.74318,3.06822,3.49993
206,2.58598,3.91278,5.5612,3.67173,3.91399
207,2.21892,3.27845,3.47474,3.15046,3.15022
208,2.8696,3.14035,3.49413,3.073,3.04555
209,2.64733,3.91347,3.11164,4.37546,3.47836
210,3.69074,4.43828,5.51137,3.05885,3.12763
211,2.04289,3.81103,3.94572,5.86201,6.09553
212,2.05423,3.32184,3.10209,4.71384,4.51513
213,2.02031,3.28782,3.06942,3.0776,2.81574
214,0.743808,3.18371,3.06481,2.58789,2.5755
215,2.43799,3.22186,3.27672,2.69489,3.4757
216,3.0974,3.75808,4.71417,3.96387,3.90299
217,2.09361,4.7531,3.77029,4.19305,4.47782
218,2.73971,3.90664,3.48191,3.73356,3.74079
219,3.19996,4.34297,5.33486,4.32202,4.35627
220,2.21715,3.86033,3.51839,3.96986,4.29179
221,2.99759,4.78875,4.52624,3.47396,3.68002
222,2.89806,5.64959,4.71525,5.37249,5.06373
223,2.60204,3.7616,3.95199,4.3601,7.02167
224,2.14158,3.6277,3.4759,3.45443,3.63436
225,2.04687,4.39939,4.65608,3.21644,3.47319
226,2.05717,3.85785,4.86474,4.52281,4.77399
227,3.30603,4.41717,4.59646,5.0477,5.28464
228,1.99212,3.70097,3.88195,3.98889,4.0387
229,2.47496,3.52453,3.44272,4.3029,4.63133
230,2.57021,3.75784,3.7031,4.77114,4.60938
231,2.61181,3.81432,3.69344,3.4209,3.10036
232,2.48429,3.58093,3.9775,4.21317,3.94382
233,2.48857,4.70478,4.93904,3.96578,4.22587
234,2.12927,4.70356,3.95056,4.20986,3.99482
235,2.23381,3.93318,3.2845,4.8465,5.11976
236,2.14501,6.14551,6.02157,4.76585,4.98626
237,2.16098,4.15328,3.523,3.5767,3.87169
238,2.14552,4.06745,4.01606,3.19709,3.33999
239,1.94187,4.34141,4.36377,3.09864,3.41057
240,2.15624,4.05808,5.07372,4.76721,4.81667
241,1.87242,4.99751,5.0081,4.17218,3.8448
242,1.0854,3.15918,2.96212,3.92846,4.04403
243,1.01383,4.62349,4.50284,2.629,2.74244
244,1.19668,2.78911,3.13044,4.26651,4.23937
245,0.666029,5.15821,4.36244,3.60019,3.86296
246,0.56683,2.67468,2.84861,2.80339,2.67358
247,0.488685,2.59906,2.55863,3.27864,4.14293
248,1.33258,4.52327,3.96153,3.76613,3.36673
249,0.780065,2.93615,2.81682,3.14554,3.14663
250,1.22229,4.267,3.3609,6.52528,6.15593
251,0.882842,3.21973,3.29375,3.64672,3.304
252,0.855195,5.06317,5.60913,3.45657,3.26193
253,0.452303,2.9183,2.82203,5.90305,7.44231
254,1.06406,3.88634,4.08797,6.14358,6.17487
255,1.23395,4.0363,4.86737,5.55719,5.18808
256,1.26425,3.79008,4.56674,6.00572,5.55862
257,0.947336,3.64547,3.70669,6.74804,7.04425
258,0.978853,3.9028,4.10315,6.61357,6.56543
259,0.972705,3.72012,3.79896,4.27178,4.45791
260,0.996324,4.3552,3.88633,3.36312,3.33702
261,0.8815,3.2848,3.81444,3.53144,3.57256
262,1.37221,3.90716,5.13808,8.70029,9.65366
263,1.12628,4.32057,4.04722,4.95894,4.96204
264,1.40583,3.88386,4.02239,4.16064,3.97486
265,1.05314,4.23565,4.31716,3.4207,3.25914
266,0.88091,4.33827,4.29457,7.32947,7.31835
267,0.98111,5.21417,4.0352,2.5178,2.79034
268,0.688859,2.7076,2.67824,3.12511,3.2114
269,1.0615,4.67372,3.44259,4.53779,4.47087
270,1.54734,4.13158,3.96275,3.07792,3.27218
271,1.6374,4.4872,5.17016,5.63901,6.61019
272,1.6481,4.4282,4.72533,3.56537,3.33113
273,1.50878,4.2573,4.35596,3.85888,3.41241
274,1.36914,6.59625,5.78667,4.99173,4.63862
275,1.17259,4.2909,4.17192,3.40577,3.34582
276,1.3841,4.7656,4.10832,6.5159,5.90685
277,0.969054,5.11826,4.39902,3.78167,3.59242
278,1.01193,3.41969,3.61437,4.43225,3.92274
279,0.75507,3.71772,3.82699,4.37938,4.61297
280,0.711399,3.40506,3.50259,4.16975,4.07365
281,0.800859,4.99235,4.74942,4.61717,5.45087
282,1.21396,4.10451,4.50436,4.10196,4.13985
283,1.31986,4.77137,4.53082,5.22019,5.62739
284,1.3335,4.8005,5.00537,5.99502,5.97146
285,1.44154,5.73751,5.86268,10.3509,9.64011
286,1.19004,6.26168,5.73194,3.43323,3.15852
287,1.11929,4.8691,4.87311,4.25839,4.29032
288,1.205,4.11828,3.89826,3.83079,4.29194
289,1.05333,3.92391,4.498,3.73948,3.90957
290,1.22631,4.12733,4.58116,5.00522,5.17646
291,1.12555,4.2499,3.85502,4.2637,4.98462
292,1.0457,4.43473,4.11304,3.3897,3.16143
293,1.10082,4.51862,3.67428,5.24199,4.6793
294,1.15834,4.97317,4.96727,7.19015,7.14406
295,0.996366,4.849,4.61948,4.91204,4.90663
296,0.855965,4.55678,4.57297,5.18594,5.04389
297,1.14969,4.95694,3.91499,4.71964,4.374
298,1.01383,5.09395,5.85492,4.19354,4.45724
299,0.831769,3.95899,5.08992,2.98258,2.91729
300,0.815323,3.95751,3.92657,4.1897,3.62554
301,0.644178,4.06584,4.37794,3.55237,3.17979
302,0.41007,3.16619,3.52813,4.07313,4.17644
303,1.02101,3.56943,3.72388,3.12778,3.20285
304,1.03065,4.42071,5.12536,3.48513,4.52294
305,0.983255,4.53432,4.74002,5.06821,5.04684
306,0.88372,4.75274,6.04583,5.7734,5.61013
307,0.622917,4.65666,5.59746,4.47205,4.13242
308,1.04332,5.37366,3.92046,3.90689,5.25258
309,0.649977,4.76026,4.84535,4.04832,4.49211
310,0.730011,5.93488,5.72461,6.63121,5.55739
311,0.766035,5.20982,4.93462,4.89054,5.28193
312,0.633873,5.91965,4.79729,3.08214,3.17303
313,0.425581,3.98544,4.29052,3.40302,3.9666
314,0.581484,3.17926,3.29751,5.44546,5.41848
315,0.58747,4.71477,4.86127,5.30548,5.37323
316,0.462645,3.91278,3.61225,2.88057,3.22867
317,0.802916,4.29333,5.00714,3.30241,3.68425
318,0.79367,6.99304,7.59193,3.882,3.86704
319,0.666882,3.54949,3.21389,3.65224,3.65711
320,0.661205,4.83637,5.49126,3.91605,4.39371
321,0.842626,5.33469,4.73222,8.41471,8.25709
322,0.700973,6.03717,5.7908,3.41783,2.84308
323,0.550627,5.45843,5.22995,3.22801,2.86713
324,0.497058,3.47905,3.57948,3.28808,3.12947
325,0.536892,3.13403,3.69985,5.6227,5.82207
326,0.768645,3.06401,3.06488,6.34172,6.78182
327,0.999005,5.31323,5.29458,4.62314,4.77969
328,0.73069,5.38631,4.53946,5.01394,5.49545
329,0.685191,6.00187,4.04613,4.46437,4.7488
330,0.830358,4.36692,5.24347,3.91545,3.80511
331,0.830734,5.24618,4.95003,6.54481,6.23405
332,0.732437,6.13978,4.89556,4.00184,3.79462
333,0.95988,4.34078,4.99473,4.20846,4.36696
334,0.872746,4.38427,5.7325,3.48875,3.11352
335,0.623549,3.48128,4.03506,3.28167,3.23031
336,0.957942,4.93891,5.77443,5.64393,7.54975
337,0.980697,6.49234,5.66705,4.20365,3.83209
338,0.888494,5.86869,5.75804,6.48536,4.88045
339,0.923384,4.39155,3.47339,4.07675,4.02387
340,0.680731,5.57199,5.64879,5.49845,5.04559
341,0.722987,4.28701,5.4672,5.15569,5.21236
342,0.497455,3.47424,3.40852,4.28537,4.1519
343,0.470125,5.46964,4.76691,4.393,4.98114
344,0.832315,3.15967,3.74453,5.60298,7.33124
345,0.634281,4.52581,6.31301,4.52345,3.93659
346,0.965756,4.24165,4.09993,5.9927,6.09532
347,0.707699,5.25757,4.42013,3.71759,3.69
348,0.340263,3.60527,2.89974,5.46505,4.25059
349,0.592303,4.20959,4.6556,5.80646,5.44493
350,0.699258,4.75739,3.53253,5.3666,5.48892
351,0.857316,4.39313,4.25957,3.51939,3.73781
352,0.807499,3.20402,3.94058,5.97193,6.43759
353,0.825155,6.21781,5.16281,4.09336,4.58045
354,1.00939,5.18612,5.44539,4.45928,4.67601
355,0.607132,5.5829,4.46762,2.82033,3.25106
356,0.659238,4.31613,4.81403,3.81993,4.22723
357,0.739579,3.87841,5.033,5.61235,5.73317
358,0.680923,5.85918,4.61649,4.5554,4.05016
359,0.394483,3.30356,4.18536,7.29432,7.59103
360,0.39386,5.97209,5.79274,5.3059,5.27757
361,0.410914,3.83962,3.68512,4.97489,4.90642
362,0.527095,3.91153,3.81811,7.55316,7.04013
363,0.577896,4.3413,4.4905,5.21478,5.47037
364,0.655183,5.30296,4.69038,6.28937,7.62583
365,0.653649,5.73943,5.61914,5.26008,5.1566
366,0.535655,7.15394,6.88733,7.44803,7.97129
367,0.263333,5.56434,6.31102,4.53902,4.81725
368,0.422874,3.34289,3.38482,6.60313,7.76757
369,0.279896,4.04934,3.2908,4.33586,4.52121
370,0.497263,5.12238,5.425,2.91301,2.85428
371,0.169834,3.59773,4.18838,7.09186,6.70016
372,0.087967,2.5952,2.64107,4.2624,4.46651
373,0.0254423,2.45426,2.56414,3.00649,2.81753
374,0.107257,2.17882,2.28018,8.05398,8.24493
375,0.37027,4.15713,3.08641,11.19,11.5891
376,0.317807,3.56106,3.31902,6.73483,7.33082
377,0.20038,3.41749,3.04399,4.86906,4.88647
378,0.398563,4.72543,4.71367,7.6106,7.77691
379,0.501826,5.36698,5.03282,4.86632,6.02824
380,0.533087,7.1353,7.5199,6.59495,8.08259
381,0.516507,5.43228,5.74359,5.84139,5.84248
382,0.371821,4.89854,4.28223,5.72164,6.15924
383,0.438991,4.17432,5.03232,6.40929,6.27937
384,0.469564,3.86948,4.2433,4.62975,4.41177
385,0.282696,5.88537,4.02228,4.09858,3.82391
386,0.404697,3.26959,3.83747,3.93906,3.97284
387,0.445311,4.26526,4.53531,7.02547,6.70996
388,0.432053,3.71869,4.88289,4.29145,4.22211
389,0.45758,3.48137,2.92638,5.98343,6.26596
390,0.534378,4.58445,5.10679,3.77285,3.95956
391,0.451115,4.85925,4.57555,3.9932,4.20205
392,0.500967,5.55646,4.12287,5.66618,5.72198
393,0.475997,6.26005,6.71558,6.5515,6.23445
394,0.672918,5.3305,7.02271,9.71488,11.814
395,0.443869,5.83697,5.15435,4.40587,4.56681
396,0.62055,3.78101,4.60757,6.25369,6.89308
397,0.543863,6.65211,4.42826,4.16363,3.63884
398,0.548831,5.08459,5.24273,5.62842,5.51966
399,0.464294,5.33112,4.79821,6.88277,7.53962
400,0.691628,5.10427,5.12895,4.11927,4.54714
401,0.566936,6.01095,6.05337,3.36583,3.38439
402,0.498438,5.54693,6.17245,4.69192,4.89181
403,0.394226,6.60057,7.06108,4.46515,4.23836
404,0.631985,3.56851,3.86553,7.19651,5.96732
405,0.552484,7.07766,5.37756,3.68171,3.57937
406,0.71257,4.73899,4.72502,7.3589,8.37974
407,0.303583,5.91766,6.96855,3.2043,3.1754
408,0.501628,5.83485,5.9781,4.30561,4.48549
409,0.648644,5.78843,6.65279,5.44988,5.62407
410,0.526428,5.29505,5.00005,4.0047,3.44794
411,0.364548,3.58364,3.4067,5.06129,4.6856
412,0.516187,5.8082,5.22729,4.79273,5.04034
413,0.550836,5.43554,4.56123,4.30984,4.50605
414,0.579424,4.73134,4.46689,8.05535,7.99928
415,0.570719,5.36787,5.21927,7.6836,8.08748
416,0.617853,3.78171,4.20369,4.9815,4.93341
417,0.671267,5.48447,4.92235,4.11191,3.88086
418,0.466969,4.89699,5.63041,5.66795,5.0369
419,0.630102,3.62762,4.29876,4.65201,3.91757
420,0.852227,5.52979,5.37914,3.91162,4.72161
421,0.444683,10.6363,7.69703,5.43446,4.92811
422,0.755979,4.69542,4.93203,6.00337,5.61485
423,0.571017,6.02279,6.85883,4.54891,4.00094
424,0.69779,5.48014,4.96075,5.25996,6.78179
425,0.70747,4.70271,5.86066,6.44975,5.51698
426,0.682842,5.29602,4.51914,8.64893,7.68949
427,0.658403,6.90992,5.91248,4.15298,4.54107
428,0.506437,5.1541,5.16311,4.77367,4.52245
429,0.679746,5.53066,5.13942,3.30364,3.27919
430,0.584484,5.88975,5.84885,3.64964,3.56066
431,0.646741,5.3083,5.34743,4.51181,4.09438
432,0.539902,7.0723,6.47747,5.56686,6.61541
433,0.460834,7.14621,5.18249,6.22531,6.09759
434,0.493043,6.06116,5.32533,4.68142,5.02594
435,0.630435,6.57879,6.15479,4.83725,5.36008
436,0.557644,5.6851,7.35059,3.86943,4.03046
437,0.51633,5.51727,5.58759,4.29212,4.39387
438,0.7485,5.31104,6.58843,3.80108,3.87166
439,0.557966,6.97599,6.55301,5.22352,4.85093
440,0.529001,6.27637,6.5387,5.66657,5.21744
441,0.543272,4.73175,5.53287,5.48947,5.67697
442,0.537168,4.31691,4.54004,5.33868,4.4936
443,0.562239,7.31883,5.46114,4.84476,4.53212
444,0.0908341,4.82028,5.81549,5.77384,6.26279
445,0.314724,3.89781,3.82815,4.17094,3.70644
446,0.455978,4.02238,4.29275,4.9317,5.62109
447,0.661323,7.07417,5.84688,4.54672,6.78753
448,0.784979,7.83989,7.11452,3.20499,4.22946
449,0.536306,5.33593,6.05069,7.23049,7.37295
450,0.623128,4.59644,5.89375,4.29562,4.63211
451,0.535515,6.78492,7.00037,4.09809,3.95295
452,0.65139,5.80268,6.89084,4.51041,4.43246
453,0.468337,4.84965,7.10124,5.07352,5.20653
454,0.486093,4.4809,4.76722,5.07319,4.26803
455,0.500582,5.46394,5.06267,5.42685,5.10941
456,0.43859,7.03602,5.80909,4.41774,4.36767
457,0.586149,5.11025,5.23826,4.59804,5.05613
458,0.419622,5.90001,5.2102,4.55953,4.54113
459,0.571465,8.25137,7.91401,6.58988,6.81914
460,0.592339,6.24499,6.71152,3.37464,3.40689
461,0.55171,8.7154,6.08633,4.75017,4.44757
462,0.790088,5.81725,7.33524,4.64396,4.42039
463,0.484236,3.93065,5.08448,4.98131,4.83407
464,0.464742,5.63551,6.20703,6.79229,7.07941
465,0.387786,5.82161,5.3221,3.83248,3.48699
466,0.317166,4.45298,4.07408,5.10135,5.0755
467,0.434657,5.68184,5.46052,3.7206,4.3148
468,0.491517,6.45519,8.34757,3.49373,3.65397
469,0.583236,6.01343,6.4732,6.20782,6.24226
470,0.488113,4.67874,5.57356,5.04877,4.90938
471,0.449455,4.73184,4.55389,4.84041,4.79871
472,0.431336,7.3001,6.97623,5.15152,4.87391
473,0.503445,6.63653,6.91034,8.28624,8.32122
474,0.587309,4.28448,5.32339,7.5223,6.9098
475,0.440741,6.49581,6.20333,6.64468,6.16842
476,0.426139,5.95395,5.70022,6.85478,6.4215
477,0.477975,4.73887,5.52096,6.03458,4.62267
478,0.557284,7.22076,6.39641,5.17803,4.55356
479,0.702633,5.83724,6.12652,5.18435,4.71205
480,0.662967,4.91027,4.12083,5.62849,6.48573
481,0.501824,6.41932,7.21206,4.19851,4.05756
482,0.39962,5.47683,5.37631,3.29125,3.48517
483,0.244273,4.9822,4.19871,3.54107,3.29827
484,0.264958,5.52758,5.38034,5.5887,5.77293
485,0.147778,4.32839,4.06209,5.52302,5.33729
486,0.330693,4.30116,4.04964,7.48794,7.02301
487,0.246011,8.56054,8.60574,9.49792,9.26735
488,0.260346,4.27499,4.39953,12.1157,11.282
489,0.222728,8.36056,7.79874,3.88198,3.95054
490,0.285485,6.37828,7.21922,5.75228,5.85059
491,0.322348,5.37238,5.4763,6.06873,5.90515
492,0.347569,5.29325,5.3202,6.72068,6.54342
493,0.313285,4.36107,4.16065,7.41918,6.88673
494,0.292295,5.27825,5.98436,5.08999,4.97075
495,0.346982,5.11807,4.86825,5.70296,5.23676
496,0.329179,4.79979,6.71233,6.57022,6.13159
497,0.411411,6.8852,4.54834,6.32529,6.12438
498,0.268621,6.56153,6.58024,10.193,10.086
499,0.284477,6.18689,6.21061,6.21197,6.47284
500,0.308345,7.33826,6.24579,8.24322,9.20442
501,0.334712,5.26049,6.65786,5.68437,5.665
502,0.428023,7.13428,6.648,6.64936,6.37099
503,0.452366,5.72643,5.92622,6.10359,5.03243
504,0.412995,6.10023,5.67139,5.61074,5.42853
505,0.441156,6.14176,5.02967,6.32995,6.38158
506,0.510826,8.0173,5.78398,6.44592,8.75526
507,0.424395,9.74041,9.21001,5.04865,4.54384
508,0.534451,6.77616,7.68396,4.8251,5.11102
509,0.376077,4.53202,5.5567,6.86382,7.8342
510,0.451418,7.57845,8.02553,3.68102,3.06221
511,0.34228,5.3705,4.74747,9.51221,9.13419
512,0.261001,5.93706,4.96474,8.97602,9.06272
513,0.368472,5.62966,5.59581,8.67697,8.40288
